source_id,provider,source_name,source_name_it,domain,access_type,base_url_or_path,priority,update_frequency,territorial_levels,temporal_coverage,notes
eurostat_nama_10r_3empers,eurostat,Eurostat regional employment by NACE,Eurostat occupazione regionale per NACE,social_economy,api,https://ec.europa.eu/eurostat/api/dissemination,2,annual,NUTS0;NUTS2,1995-present,Employment by NACE aggregate O-U at NUTS2. Used for EU regional comparisons. Note: Q/P/S94 not separable at NUTS2.
eurostat_lfsa_egan22d,eurostat,Eurostat national employment by detailed NACE,Eurostat occupazione nazionale per NACE dettagliato,social_economy,api,https://ec.europa.eu/eurostat/api/dissemination,2,annual,NUTS0,2004-present,Employment by detailed NACE sections P85/Q86/Q87/Q88/S94/S96 at national level only. Complements nama_10r_3empers with sectoral detail.
eurostat_sbs_r_nuts2021,eurostat,Eurostat local units by NACE and NUTS2,Eurostat unità locali per NACE e NUTS2,social_economy,api,https://ec.europa.eu/eurostat/api/dissemination,2,annual,NUTS0;NUTS2,2021-present,Number of local units (LOC_NR) by NACE P85/Q86/Q87/Q88/S96 at NUTS2. Replaces bd_enace2_r3. Note: S94 not available in this dataset.
istat_85_84_DF_DCSA_VOLON1_1,istat,ISTAT volunteering by gender age and form,ISTAT volontariato per genere eta e forma,social_economy,api,https://esploradati.istat.it/SDMXWS/rest,1,annual,nazionale,2015-present,Primary volunteering dataset. Multiple data_types: % rate (HAUA_15) / thousands (HUA_15) / mean hours / absolute count. Source: Indagine sul Volontariato feb 2026.
istat_85_84_DF_DCSA_VOLON1_2,istat,ISTAT volunteering by activity type,ISTAT volontariato per tipo di attivita,social_economy,api,https://esploradati.istat.it/SDMXWS/rest,1,annual,nazionale,2015-present,Type of activity performed by volunteers by gender and form.
istat_85_84_DF_DCSA_VOLON1_3,istat,ISTAT volunteering by years active,ISTAT volontariato per anni di attivita,social_economy,api,https://esploradati.istat.it/SDMXWS/rest,1,annual,nazionale,2015-present,Duration of volunteering activity by gender and form.
istat_85_84_DF_DCSA_VOLON1_4,istat,ISTAT volunteering by education and labour status,ISTAT volontariato per istruzione e condizione professionale,social_economy,api,https://esploradati.istat.it/SDMXWS/rest,1,annual,nazionale,2015-present,Volunteering rate by educational level and labour market status.
istat_85_84_DF_DCSA_VOLON1_5,istat,ISTAT volunteering by household and economic resources,ISTAT volontariato per nucleo familiare e risorse economiche,social_economy,api,https://esploradati.istat.it/SDMXWS/rest,1,annual,nazionale,2015-present,Volunteering rate by household size and self-assessed economic resources.
istat_85_84_DF_DCSA_VOLON1_6,istat,ISTAT volunteering by region and municipality type,ISTAT volontariato per regione e tipo comune,social_economy,api,https://esploradati.istat.it/SDMXWS/rest,1,annual,regionale,2015-present,Territorial breakdown of volunteering rates. All 21 regions plus municipality size class.
istat_85_171_DF_DCSA_VOLON_ORG1_1,istat,ISTAT organised volunteering by sector,ISTAT volontariato organizzato per settore,social_economy,api,https://esploradati.istat.it/SDMXWS/rest,1,annual,nazionale,2015-present,Share of organised volunteers by sector and multi-membership by gender.
